Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/23/2020,Lesotho,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Liberia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Libya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Liechtenstein,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Lithuania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Luxembourg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Madagascar,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Malawi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Malaysia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Maldives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Mali,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Malta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Mauritania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Mauritius,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
